original,transformed,variance_ratio,ci_low,ci_high,verdict,n_subjects
Horvath1,PCHorvath1,0.1333284017312065,0.06513743289096169,0.2591764194365466,supported,36
Hannum,PCHannum,0.13484002330629075,0.057969166810976795,0.32902635626095145,supported,36
PhenoAge,PCPhenoAge,0.035517760676789294,0.020708195366878332,0.05996111187663973,supported,36
GrimAge,PCGrimAge,0.12811757820404854,0.07465235370429561,0.2188934289252143,supported,36
