clock,icc,ci_low,ci_high,band,n_subjects,k,form,sem,mean_abs_diff,mdc95
PCGrimAge,0.998002043564754,0.995377479709929,0.9990583813873563,excellent,36,2,ICC2,0.3218427868693478,0.3845371941666649,0.8920862983231749
PCPhenoAge,0.9962149275458364,0.9925909015699231,0.998068083759555,excellent,36,2,ICC2,0.5266183219085282,0.6072882313888882,1.459684692611278
PCHannum,0.9957321112601293,0.9914300955629788,0.9978493389892454,excellent,36,2,ICC2,0.47946279547760967,0.5133058747222218,1.3289786437716133
PCHorvath1,0.9900194840123561,0.9805832645205427,0.994889895605315,excellent,36,2,ICC2,0.7095509888432856,0.7542313475000003,1.9667388580180103
GrimAge,0.9889386025468434,0.9785534098773773,0.9943266242852902,excellent,36,2,ICC2,0.8991650542879196,1.0114681783333332,2.492312574918427
Hannum,0.9784258042278529,0.9583797778789767,0.9889056861284483,excellent,36,2,ICC2,1.3057063124748258,1.3580213747222234,3.6191667438727535
Horvath1,0.944522866819654,0.8941008773056763,0.9713111426339442,excellent,36,2,ICC2,1.9432213487596381,2.3067535805555557,5.386235797607844
PhenoAge,0.9178741866895735,0.8457868184890608,0.9571542650465656,excellent,36,2,ICC2,2.794300938123726,3.2121515333333335,7.74526471305913
