clock,icc,ci_low,ci_high,band,n_subjects,k,form,sem,mean_abs_diff,mdc95
PCGrimAge,0.998002043559766,0.9953774796946905,0.9990583813853443,excellent,36,2,ICC2,0.32184278719506165,0.3845371943415085,0.892086299225991
PCPhenoAge,0.9962149275496548,0.9925909015774405,0.9980680837614984,excellent,36,2,ICC2,0.5266183216350238,0.6072882312913053,1.4596846918531763
PCHannum,0.9957321112488364,0.9914300955430594,0.9978493389832108,excellent,36,2,ICC2,0.4794627961841777,0.5133058746273511,1.328978645730084
PCHorvath1,0.9900194840225846,0.980583264540353,0.994889895610564,excellent,36,2,ICC2,0.7095509884350639,0.754231346889046,1.9667388568864985
GrimAge,0.9889386025422886,0.9785534098683775,0.9943266242829771,excellent,36,2,ICC2,0.8991650545292369,1.0114681784900579,2.492312575587312
Hannum,0.978425804227013,0.958379777877348,0.9889056861280174,excellent,36,2,ICC2,1.3057063125807347,1.3580213747745415,3.6191667441663125
Horvath1,0.944522866813586,0.8941008772937953,0.9713111426308484,excellent,36,2,ICC2,1.9432213487742116,2.3067535809077664,5.386235797648238
PhenoAge,0.9178741866667322,0.8457868184493802,0.9571542650341661,excellent,36,2,ICC2,2.79430093830197,3.2121515341409275,7.745264713553188
