original,transformed,variance_ratio,ci_low,ci_high,verdict,n_subjects
Horvath1,PCHorvath1,0.13332840157579262,0.06513743285390851,0.259176419215566,supported,36
Hannum,PCHannum,0.1348400236818347,0.0579691669562338,0.32902635696631444,supported,36
PhenoAge,PCPhenoAge,0.035517760635365034,0.020708195371801557,0.059961111767598066,supported,36
GrimAge,PCGrimAge,0.12811757839459742,0.07465235359825968,0.2188934289718221,supported,36
