clock,icc,ci_low,ci_high,band,n_subjects,k,form,sem,mean_abs_diff,mdc95
PCGrimAge,0.9980020388318256,0.9953774692899786,0.9990583791083781,excellent,36,2,ICC2,0.32184358787385253,0.384538168636342,0.8920885185535877
PCPhenoAge,0.9962149276832066,0.9925909018304009,0.9980680838307814,excellent,36,2,ICC2,0.526618309944136,0.6072882194874796,1.4596846594482844
PCHannum,0.9957321111838118,0.9914300952930348,0.9978493389653494,excellent,36,2,ICC2,0.4794628007724245,0.5133058870635328,1.3289786584478216
PCHorvath1,0.9900194836904675,0.9805832639682748,0.9948898954305764,excellent,36,2,ICC2,0.709550983374431,0.754231358241441,1.9667388428593975
GrimAge,0.9889453883457912,0.9785677577618445,0.9943299435818208,excellent,36,2,ICC2,0.898308726421299,1.0101196724862218,2.4899389987879337
Hannum,0.9784258045986332,0.958379778578679,0.9889056863212767,excellent,36,2,ICC2,1.3057063103165836,1.3580213697283716,3.619166737890521
Horvath1,0.9445228661667895,0.8941008760855516,0.9713111422925621,excellent,36,2,ICC2,1.9432213629413306,2.3067536070496875,5.386235836916767
PhenoAge,0.9168032627859295,0.8438524917629573,0.9565839480652002,excellent,36,2,ICC2,2.794390008091742,3.2124854619614873,7.745511597877745
