pair,omitted,variance_ratio,d_vr,icc_orig,icc_pc,sem_orig,sem_pc,mdc95_orig,mdc95_pc
Hannum,indiv_26,0.1237,-0.0112,0.9762,0.9956,1.3205,0.4643,3.6601,1.2871
Hannum,indiv_27,0.1407,0.0059,0.9799,0.9956,1.2637,0.474,3.5027,1.3139
Hannum,indiv_28,0.1483,0.0134,0.9804,0.9957,1.2633,0.4865,3.5016,1.3484
Hannum,indiv_29,0.1319,-0.003,0.9786,0.9959,1.3141,0.4772,3.6424,1.3226
Hannum,indiv_30,0.1294,-0.0055,0.9763,0.9958,1.3245,0.4764,3.6712,1.3205
Hannum,indiv_31,0.1353,0.0004,0.9777,0.9956,1.3214,0.486,3.6626,1.3471
Hannum,indiv_32,0.1347,-0.0001,0.9781,0.9957,1.3241,0.486,3.6703,1.3472
Hannum,indiv_33,0.1373,0.0024,0.979,0.9957,1.3117,0.486,3.6358,1.3471
Hannum,indiv_34,0.1343,-0.0006,0.978,0.9957,1.32,0.4837,3.6587,1.3407
Hannum,indiv_35,0.1379,0.0031,0.9753,0.9953,1.3099,0.4864,3.6308,1.3482
Hannum,indiv_36,0.1445,0.0096,0.9792,0.9956,1.277,0.4854,3.5396,1.3454
PhenoAge,indiv_01,0.0339,-0.0016,0.9199,0.9965,2.7918,0.5144,7.7383,1.4257
PhenoAge,indiv_02,0.0355,-0.0001,0.9176,0.9961,2.8272,0.5323,7.8364,1.4755
PhenoAge,indiv_03,0.0354,-0.0002,0.9178,0.9962,2.8128,0.5289,7.7966,1.4661
PhenoAge,indiv_04,0.0351,-0.0004,0.9177,0.9963,2.8182,0.5281,7.8115,1.4637
PhenoAge,indiv_05,0.039,0.0035,0.9253,0.9961,2.7043,0.5341,7.4959,1.4805
PhenoAge,indiv_06,0.0349,-0.0006,0.9178,0.9962,2.8339,0.5295,7.855,1.4678
PhenoAge,indiv_07,0.034,-0.0015,0.9153,0.9963,2.8351,0.523,7.8583,1.4497
PhenoAge,indiv_08,0.0355,-0.0,0.9182,0.9962,2.8336,0.5337,7.8541,1.4795
PhenoAge,indiv_09,0.0371,0.0015,0.919,0.9962,2.7752,0.5342,7.6923,1.4808
PhenoAge,indiv_10,0.0383,0.0028,0.9189,0.9959,2.7143,0.5312,7.5237,1.4725
PhenoAge,indiv_11,0.035,-0.0005,0.9189,0.9963,2.8177,0.5275,7.8101,1.462
PhenoAge,indiv_12,0.0379,0.0024,0.9224,0.9962,2.7169,0.5292,7.5307,1.4668
PhenoAge,indiv_13,0.0343,-0.0012,0.909,0.9957,2.7871,0.5164,7.7253,1.4313
PhenoAge,indiv_14,0.0366,0.0011,0.9221,0.9963,2.767,0.5294,7.6695,1.4675
PhenoAge,indiv_15,0.032,-0.0035,0.9181,0.9966,2.8271,0.506,7.8362,1.4026
PhenoAge,indiv_16,0.0343,-0.0012,0.9142,0.9962,2.827,0.5233,7.8358,1.4506
PhenoAge,indiv_17,0.035,-0.0005,0.9113,0.996,2.8184,0.5271,7.812,1.4609
PhenoAge,indiv_18,0.0356,0.0001,0.9175,0.9962,2.8296,0.5337,7.843,1.4793
PhenoAge,indiv_19,0.0353,-0.0002,0.9177,0.9962,2.8257,0.5311,7.8323,1.4722
PhenoAge,indiv_20,0.0353,-0.0002,0.9186,0.9963,2.8271,0.5314,7.8362,1.4729
PhenoAge,indiv_21,0.0373,0.0018,0.9208,0.9962,2.7654,0.5343,7.6653,1.481
PhenoAge,indiv_22,0.0344,-0.0011,0.9234,0.9966,2.7038,0.5014,7.4943,1.3897
PhenoAge,indiv_23,0.0347,-0.0008,0.9169,0.9963,2.829,0.5271,7.8416,1.461
PhenoAge,indiv_24,0.0388,0.0033,0.9282,0.9964,2.6565,0.5232,7.3632,1.4503
PhenoAge,indiv_25,0.0357,0.0002,0.9139,0.9961,2.8254,0.534,7.8315,1.4802
PhenoAge,indiv_26,0.0357,0.0002,0.9081,0.9959,2.8273,0.5343,7.8367,1.481
PhenoAge,indiv_27,0.0346,-0.0009,0.9192,0.9964,2.7487,0.5113,7.6188,1.4171
PhenoAge,indiv_28,0.0382,0.0027,0.9217,0.9962,2.722,0.532,7.5449,1.4746
PhenoAge,indiv_29,0.0308,-0.0047,0.9179,0.9967,2.8346,0.4978,7.8571,1.3799
PhenoAge,indiv_30,0.035,-0.0005,0.905,0.9959,2.831,0.5298,7.8469,1.4686
PhenoAge,indiv_31,0.0356,0.0001,0.916,0.996,2.8247,0.533,7.8295,1.4773
PhenoAge,indiv_32,0.0373,0.0018,0.9209,0.9962,2.7599,0.5328,7.6498,1.4769
PhenoAge,indiv_33,0.036,0.0005,0.9193,0.9962,2.8136,0.5342,7.7987,1.4807
PhenoAge,indiv_34,0.0347,-0.0008,0.9168,0.9962,2.8346,0.5281,7.8569,1.4639
PhenoAge,indiv_35,0.0355,-0.0001,0.921,0.9961,2.7835,0.5242,7.7152,1.4529
PhenoAge,indiv_36,0.0355,-0.0001,0.9121,0.9961,2.8303,0.533,7.8452,1.4772
GrimAge,indiv_01,0.1273,-0.0009,0.9893,0.998,0.8907,0.3177,2.4687,0.8807
GrimAge,indiv_02,0.1192,-0.0089,0.9888,0.9982,0.9113,0.3147,2.5261,0.8723
GrimAge,indiv_03,0.1323,0.0041,0.9892,0.9979,0.896,0.3258,2.4835,0.9032
GrimAge,indiv_04,0.1268,-0.0013,0.989,0.998,0.9111,0.3245,2.5254,0.8994
GrimAge,indiv_05,0.1169,-0.0112,0.99,0.9984,0.8725,0.2984,2.4184,0.827
GrimAge,indiv_06,0.1226,-0.0055,0.9889,0.998,0.9122,0.3194,2.5285,0.8853
GrimAge,indiv_07,0.1233,-0.0048,0.9887,0.998,0.9104,0.3197,2.5235,0.8862
GrimAge,indiv_08,0.128,-0.0002,0.9891,0.9981,0.9089,0.3251,2.5193,0.9012
GrimAge,indiv_09,0.1261,-0.0021,0.9889,0.998,0.912,0.3238,2.528,0.8976
GrimAge,indiv_10,0.123,-0.0051,0.9883,0.998,0.9079,0.3184,2.5166,0.8827
GrimAge,indiv_11,0.128,-0.0001,0.9889,0.998,0.9117,0.3262,2.527,0.9042
GrimAge,indiv_12,0.1264,-0.0017,0.9886,0.9979,0.9122,0.3243,2.5284,0.899
GrimAge,indiv_13,0.1378,0.0097,0.9898,0.998,0.8795,0.3265,2.4378,0.9051
GrimAge,indiv_14,0.128,-0.0001,0.989,0.9981,0.9053,0.3239,2.5094,0.8977
GrimAge,indiv_15,0.1366,0.0085,0.99,0.998,0.8544,0.3158,2.3681,0.8753
GrimAge,indiv_16,0.1291,0.001,0.9881,0.9979,0.9086,0.3265,2.5185,0.905
GrimAge,indiv_17,0.1321,0.004,0.9886,0.9978,0.8908,0.3238,2.4691,0.8974
GrimAge,indiv_18,0.1277,-0.0004,0.9889,0.998,0.9123,0.326,2.5286,0.9035
GrimAge,indiv_19,0.1351,0.007,0.9897,0.998,0.8851,0.3254,2.4533,0.9018
GrimAge,indiv_20,0.1182,-0.0099,0.9888,0.9982,0.9104,0.313,2.5234,0.8676
GrimAge,indiv_21,0.1298,0.0017,0.9888,0.9979,0.9019,0.325,2.4999,0.9008
GrimAge,indiv_22,0.1289,0.0008,0.9894,0.9981,0.8957,0.3216,2.4828,0.8913
GrimAge,indiv_23,0.129,0.0009,0.989,0.998,0.9073,0.3259,2.515,0.9032
GrimAge,indiv_24,0.1247,-0.0034,0.9889,0.998,0.9122,0.3221,2.5283,0.8928
GrimAge,indiv_25,0.1294,0.0013,0.989,0.998,0.9077,0.3265,2.516,0.9051
GrimAge,indiv_26,0.1161,-0.012,0.9885,0.998,0.9061,0.3087,2.5115,0.8558
GrimAge,indiv_27,0.1319,0.0038,0.9889,0.9979,0.8973,0.3259,2.487,0.9034
GrimAge,indiv_28,0.1336,0.0055,0.9889,0.9979,0.8915,0.3259,2.4711,0.9032
GrimAge,indiv_29,0.1219,-0.0062,0.9896,0.9982,0.8885,0.3103,2.4629,0.86
GrimAge,indiv_30,0.1243,-0.0038,0.9883,0.9979,0.9104,0.321,2.5236,0.8897
GrimAge,indiv_31,0.1281,0.0,0.9877,0.9978,0.9123,0.3265,2.5286,0.9051
GrimAge,indiv_32,0.13,0.0018,0.9895,0.998,0.8931,0.322,2.4755,0.8924
GrimAge,indiv_33,0.1282,0.0001,0.9888,0.998,0.9102,0.3259,2.5229,0.9034
GrimAge,indiv_34,0.144,0.0159,0.9899,0.998,0.8604,0.3265,2.385,0.9051
GrimAge,indiv_35,0.1428,0.0147,0.9885,0.9978,0.8602,0.3251,2.3844,0.901
GrimAge,indiv_36,0.1297,0.0015,0.9868,0.9978,0.9067,0.3265,2.5132,0.905
