original,transformed,variance_ratio,ci_low,ci_high,verdict,n_subjects
Horvath1,PCHorvath1,0.13332839772988286,0.06513743435712258,0.2591764034823799,supported,36
Hannum,PCHannum,0.13484002673019027,0.05796916972089457,0.32902636652540845,supported,36
PhenoAge,PCPhenoAge,0.03551549487270624,0.020706734444438595,0.05994219886299965,supported,36
GrimAge,PCGrimAge,0.12836259402608025,0.07453282046147497,0.22032748229738858,supported,36
